legacy_ocms_code,synthetic_project_code,surviving_project_code,reviewed_by,rationale
N30000050,ocms:N30000050,616612,,ocms:N30000050 was minted by the truncated-read run of load-mospi-historical; 616612 is the MoSPI project_code that already carried legacy_ocms_code N30000050
N30000026,ocms:N30000026,616615,,ocms:N30000026 was minted by the truncated-read run of load-mospi-historical; 616615 is the MoSPI project_code that already carried legacy_ocms_code N30000026
N30000035,ocms:N30000035,616616,,ocms:N30000035 was minted by the truncated-read run of load-mospi-historical; 616616 is the MoSPI project_code that already carried legacy_ocms_code N30000035
N12000129,ocms:N12000129,617253,,ocms:N12000129 was minted by the truncated-read run of load-mospi-historical; 617253 is the MoSPI project_code that already carried legacy_ocms_code N12000129
N12000134,ocms:N12000134,617254,,ocms:N12000134 was minted by the truncated-read run of load-mospi-historical; 617254 is the MoSPI project_code that already carried legacy_ocms_code N12000134
N12000131,ocms:N12000131,617255,,ocms:N12000131 was minted by the truncated-read run of load-mospi-historical; 617255 is the MoSPI project_code that already carried legacy_ocms_code N12000131
N16000275,ocms:N16000275,617302,,ocms:N16000275 was minted by the truncated-read run of load-mospi-historical; 617302 is the MoSPI project_code that already carried legacy_ocms_code N16000275
N24001441,ocms:N24001441,617885,,ocms:N24001441 was minted by the truncated-read run of load-mospi-historical; 617885 is the MoSPI project_code that already carried legacy_ocms_code N24001441
N24001465,ocms:N24001465,617886,,ocms:N24001465 was minted by the truncated-read run of load-mospi-historical; 617886 is the MoSPI project_code that already carried legacy_ocms_code N24001465
N24001411,ocms:N24001411,617887,,ocms:N24001411 was minted by the truncated-read run of load-mospi-historical; 617887 is the MoSPI project_code that already carried legacy_ocms_code N24001411
N24001866,ocms:N24001866,617891,,ocms:N24001866 was minted by the truncated-read run of load-mospi-historical; 617891 is the MoSPI project_code that already carried legacy_ocms_code N24001866
N24001297,ocms:N24001297,617892,,ocms:N24001297 was minted by the truncated-read run of load-mospi-historical; 617892 is the MoSPI project_code that already carried legacy_ocms_code N24001297
N24002136,ocms:N24002136,617899,,ocms:N24002136 was minted by the truncated-read run of load-mospi-historical; 617899 is the MoSPI project_code that already carried legacy_ocms_code N24002136
N24001530,ocms:N24001530,617900,,ocms:N24001530 was minted by the truncated-read run of load-mospi-historical; 617900 is the MoSPI project_code that already carried legacy_ocms_code N24001530
N24001528,ocms:N24001528,617901,,ocms:N24001528 was minted by the truncated-read run of load-mospi-historical; 617901 is the MoSPI project_code that already carried legacy_ocms_code N24001528
N24001862,ocms:N24001862,617904,,ocms:N24001862 was minted by the truncated-read run of load-mospi-historical; 617904 is the MoSPI project_code that already carried legacy_ocms_code N24001862
N24001865,ocms:N24001865,617905,,ocms:N24001865 was minted by the truncated-read run of load-mospi-historical; 617905 is the MoSPI project_code that already carried legacy_ocms_code N24001865
N24001953,ocms:N24001953,617907,,ocms:N24001953 was minted by the truncated-read run of load-mospi-historical; 617907 is the MoSPI project_code that already carried legacy_ocms_code N24001953
N24000513,ocms:N24000513,617911,,ocms:N24000513 was minted by the truncated-read run of load-mospi-historical; 617911 is the MoSPI project_code that already carried legacy_ocms_code N24000513
N24000987,ocms:N24000987,617913,,ocms:N24000987 was minted by the truncated-read run of load-mospi-historical; 617913 is the MoSPI project_code that already carried legacy_ocms_code N24000987
N24002019,ocms:N24002019,617915,,ocms:N24002019 was minted by the truncated-read run of load-mospi-historical; 617915 is the MoSPI project_code that already carried legacy_ocms_code N24002019
N24001883,ocms:N24001883,617917,,ocms:N24001883 was minted by the truncated-read run of load-mospi-historical; 617917 is the MoSPI project_code that already carried legacy_ocms_code N24001883
N24001227,ocms:N24001227,617919,,ocms:N24001227 was minted by the truncated-read run of load-mospi-historical; 617919 is the MoSPI project_code that already carried legacy_ocms_code N24001227
N24001858,ocms:N24001858,617921,,ocms:N24001858 was minted by the truncated-read run of load-mospi-historical; 617921 is the MoSPI project_code that already carried legacy_ocms_code N24001858
N24001860,ocms:N24001860,617924,,ocms:N24001860 was minted by the truncated-read run of load-mospi-historical; 617924 is the MoSPI project_code that already carried legacy_ocms_code N24001860
N24001861,ocms:N24001861,617925,,ocms:N24001861 was minted by the truncated-read run of load-mospi-historical; 617925 is the MoSPI project_code that already carried legacy_ocms_code N24001861
N24000781,ocms:N24000781,617929,,ocms:N24000781 was minted by the truncated-read run of load-mospi-historical; 617929 is the MoSPI project_code that already carried legacy_ocms_code N24000781
N24001859,ocms:N24001859,617930,,ocms:N24001859 was minted by the truncated-read run of load-mospi-historical; 617930 is the MoSPI project_code that already carried legacy_ocms_code N24001859
N24001882,ocms:N24001882,617932,,ocms:N24001882 was minted by the truncated-read run of load-mospi-historical; 617932 is the MoSPI project_code that already carried legacy_ocms_code N24001882
N24002174,ocms:N24002174,617933,,ocms:N24002174 was minted by the truncated-read run of load-mospi-historical; 617933 is the MoSPI project_code that already carried legacy_ocms_code N24002174
N24001112,ocms:N24001112,617934,,ocms:N24001112 was minted by the truncated-read run of load-mospi-historical; 617934 is the MoSPI project_code that already carried legacy_ocms_code N24001112
N24001938,ocms:N24001938,617935,,ocms:N24001938 was minted by the truncated-read run of load-mospi-historical; 617935 is the MoSPI project_code that already carried legacy_ocms_code N24001938
N24000981,ocms:N24000981,617936,,ocms:N24000981 was minted by the truncated-read run of load-mospi-historical; 617936 is the MoSPI project_code that already carried legacy_ocms_code N24000981
N24002004,ocms:N24002004,617940,,ocms:N24002004 was minted by the truncated-read run of load-mospi-historical; 617940 is the MoSPI project_code that already carried legacy_ocms_code N24002004
N24001132,ocms:N24001132,617944,,ocms:N24001132 was minted by the truncated-read run of load-mospi-historical; 617944 is the MoSPI project_code that already carried legacy_ocms_code N24001132
N24000584,ocms:N24000584,617946,,ocms:N24000584 was minted by the truncated-read run of load-mospi-historical; 617946 is the MoSPI project_code that already carried legacy_ocms_code N24000584
N24000585,ocms:N24000585,617947,,ocms:N24000585 was minted by the truncated-read run of load-mospi-historical; 617947 is the MoSPI project_code that already carried legacy_ocms_code N24000585
N24001134,ocms:N24001134,617948,,ocms:N24001134 was minted by the truncated-read run of load-mospi-historical; 617948 is the MoSPI project_code that already carried legacy_ocms_code N24001134
N24001937,ocms:N24001937,617954,,ocms:N24001937 was minted by the truncated-read run of load-mospi-historical; 617954 is the MoSPI project_code that already carried legacy_ocms_code N24001937
N24002012,ocms:N24002012,617955,,ocms:N24002012 was minted by the truncated-read run of load-mospi-historical; 617955 is the MoSPI project_code that already carried legacy_ocms_code N24002012
N24002120,ocms:N24002120,617957,,ocms:N24002120 was minted by the truncated-read run of load-mospi-historical; 617957 is the MoSPI project_code that already carried legacy_ocms_code N24002120
